ID,Name,Description,Specifications
16,Alcis Men Charcoal Grey Solid Sports Sweatshirt,"
Áo sweatshirt thể thao màu xám đậm trơn với hiệu ứng melange, có cổ tròn, tay dài, gấu áo bo. Được thiết kế với công nghệ kháng khuẩn. Sản phẩm này phù hợp để sử dụng vào mùa thu.","Giặt: Giặt bằng máy
Tay áo: Tay dài
Chất liệu: 100% polyester cationic."
17,Alcis Men Navy Blue Solid Stand Collar T-shirt,"Tạo dấu ấn cho riêng bạn mùa này với chiếc áo T-shirt phong cách từ Alcis. Dù bạn đi chạy bộ hay đến phòng gym, hãy kết hợp chiếc áo này với quần short trơn để có phong cách thể thao.","Chất liệu: 60% cotton, 40% polyester
Chiều dài tay: Tay ngắn
Cổ: Cổ polo."
18,Alcis Solid Brown Track Pants,Quần ALCIS cho nam này là sự kết hợp hoàn hảo giữa phong cách và sự thoải mái. Những chiếc quần này được trang bị công nghệ Soft-Touch giúp tăng cường sự thoải mái. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.,"Giặt: Giặt tay
Thành phần chất liệu: 100% cotton
Dòng sản phẩm: Yoga."
19,Alcis Charcoal Grey Self Design Tights,"Được thiết kế để đáp ứng nhu cầu tập luyện của bạn, chiếc quần legging này từ Alcis sẽ là lựa chọn hoàn hảo. Kết hợp nó với một chiếc áo T-shirt và giày thể thao để có diện mạo hoàn chỉnh.","Thành phần chất liệu: 90% polyester, 10% lycra Foma
Giặt: Giặt tay."
20,Alcis Men Yellow Solid Polo Collar T-shirt,Thể hiện bản thân với áo polo ALCIS giúp bạn luôn thoải mái và tăng cường hiệu suất. Nó chống mồ hôi và mùi cơ thể để bạn có thể tập trung vào việc tập luyện. Đây là lựa chọn hoàn hảo cho các buổi tập thể thao.,"Thành phần vải: 60% COTTON 40% POLYESTER PIQUE
Cổ: Polo
Chăm sóc giặt: Giặt máy"
21,Alcis Navy Blue Printed Detail Hooded Sweatshirt,"Bạn không thể dự đoán thời tiết nhưng có thể chuẩn bị cho nó. Hãy mặc chiếc áo sweatshirt ALCIS này khi thời tiết trở nên khó lường, và thực hiện những bước chạy hàng ngày của bạn. Đây sẽ là sản phẩm rất cần thiết cho mùa đông này.","Thành Phần vải: 70% Cotton 30% Lông Cừu Polyester
Tay áo: Tay áo dài"
22,Alcis Charcoal Grey Solid Sporty Jacket,"Áo khoác thể thao màu xám đậm trơn, có cổ giả, 2 túi, khóa kéo, tay dài, gấu áo thẳng, có lớp lót bằng cotton. Kết hợp nó với quần jogger để tạo nên phong cách thật ngầu.","Vải: 100% Polyester
Chiều dài tay áo: Tay áo dài
Đan/Dệt: Dệt kim"
23,Alcis Men Black Solid Hooded Tracksuit,"Bộ đồ thể thao màu đen trơn với chi tiết bên hông. Áo khoác màu đen trơn có mũ, tay dài, khóa kéo và 2 túi. Quần jogger màu đen trơn có cạp thun, dây rút, 2 túi và gấu quần thẳng.","Vải: 100% Polyester Vải chéo
Tay áo: Tay áo dài
Giặt: Giặt tay"
24,Alcis Men Green Solid Round Neck T-shirt,"Thể hiện bản thân với áo T-shirt ALCIS giúp bạn luôn thoải mái và tăng cường hiệu suất. Nó chống mồ hôi và mùi cơ thể để bạn có thể tập trung vào việc tập luyện, rất phù hợp cho các buổi tập thể thao.","Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
25,Alcis Men Blue Solid Polo Collar T-shirt,Hãy để mọi người ngưỡng mộ phong cách của bạn trong khi bạn tập trung vào việc luyện tập với chiếc áo polo màu xanh tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS. Đây là sản phẩm hoàn hảo cho bộ sưu tập mùa thu của bạn.,"Vải: 50% Cotton 50% Polyester Mắt Chim
Cổ: Cổ áo Polo
Chăm sóc giặt: Giặt máy"
26,Alcis Men Navy Blue Solid Polo Collar T-shirt,Hãy để mọi người ngưỡng mộ phong cách của bạn trong khi bạn tập trung vào việc luyện tập thể thao với chiếc áo polo tuyệt đẹp từ bộ sưu tập mới nhất của ALCIS.,"Vải: 100% Polyester
Chiều dài tay áo: Tay áo một nửa
Chăm sóc giặt: Giặt máy"
